ID,fire,lst,Lst in K,ta,ndvi
1_2018140,1_2018140,14716.47676,294.3295352,NA,1644.135338
8_2019123,128_2019123,NA,#VALUE!,5,2162.401575
1_2019284,121_2019284,NA,#VALUE!,5.203935599,2320.847682
1_2018218,101_2018218,NA,#VALUE!,8.030075188,2390.148148
0_2019280,130_2019280,NA,#VALUE!,5,2450.058544
7_2018257,107_2018257,NA,#VALUE!,NA,2522.875
4_2019159,134_2019159,NA,#VALUE!,NA,2580.983122
2_2018205,102_2018205,NA,#VALUE!,NA,2757.763393
3_2018247,113_2018247,NA,#VALUE!,5,2761.701754
4_2019243,124_2019243,NA,#VALUE!,8.982578397,2809.608696
0_2018086,110_2018086,NA,#VALUE!,5,2901.484954
5_2018170,105_2018170,NA,#VALUE!,6.590909091,3051.2
4_2018194,104_2018194,NA,#VALUE!,NA,3309.396739
8_2018209,108_2018209,NA,#VALUE!,5.978395062,3518.847107
6_2018187,106_2018187,NA,#VALUE!,NA,3747.633588
3_2019279,133_2019279,15005.9125,300.11825,NA,3922.235554
,,15639.11371,312.7822742,5.595705141,4051.081169
4_2018213,114_2018213,NA,#VALUE!,5,4081.889802
7_2019127,127_2019127,NA,#VALUE!,5,4086.875
9_2018212,109_2018212,NA,#VALUE!,NA,4142.515464
3_2018312,13_2018312,NA,#VALUE!,NA,4471.583333
9_2019212,129_2019212,NA,#VALUE!,5,4516.036928
3_2018219,103_2018219,NA,#VALUE!,NA,4896.84
5_2019267,135_2019267,NA,#VALUE!,NA,4905.294118
0_2018200,100_2018200,NA,#VALUE!,5,4946.636364
1_2019308,131_2019308,NA,#VALUE!,4.96606579,5525.554054
6_2019290,126_2019290,NA,#VALUE!,5,5608.827815
6_2019209,136_2019209,NA,#VALUE!,NA,6070.789277
5_2019253,125_2019253,NA,#VALUE!,9,6082.968586
1_2018193,11_2018193,NA,#VALUE!,5,7062.550523
2_2019296,132_2019296,NA,#VALUE!,5,7149.869565
2_2018286,112_2018286,NA,#VALUE!,5,7183.964226
8_2019258,208_2019258,14787.40387,295.7480774,NA,NA
